"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Metric Name","Metric Unit","Minimum","Maximum","Average"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_gen","","","","4"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_gpu_gen","","","","4"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_gpu_link_rate","","","","32.000"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_ext_gpu_link_width","","","","16"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_revision_id","","","","161"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_gpu_pci_sub_system_id","","","","343.151.714"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_handle_type_fabric_supported","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_handle_type_posix_file_descriptor_supported","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_handle_type_win32_handle_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_handle_type_win32_kmt_handle_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_host_native_atomic_supported","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_host_numa_id","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_host_register_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_implementation","","","","437"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_integrated","","","","0"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_ipc_event_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_kernel_exec_timeout","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_l2_cache_size","","","","37.748.736"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_l2s_count","","","","24"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_limits_max_cta_per_sm","","","","24"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_limits_num_tpcs","","","","23"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_local_l1_cache_supported","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_managed_memory","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_access_policy_window_size","","","","134.217.728"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_block_dim_x","","","","1.024"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_block_dim_y","","","","1.024"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_block_dim_z","","","","64"
